title,link,price,carYear,location,mileage,engine
[u'Citroen Berlingo 90 BHP Enterprise plus'],[u'http://www.carzone.ie/search/Citroen/Berlingo/90-BHP-E/38813905653997290/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Offaly,"10 M /
                   16 KM","1.6
                  Diesel"
[u'Citroen Berlingo NEW HDI 75 625KG LX SWB 3S 3DR'],[u'http://www.carzone.ie/search/Citroen/Berlingo/NEW-HDI-/36513821809570340/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Waterford,,"1.5
                  Diesel"
"[u'Citroen Berlingo 141 REG>>>1.6HDI Sat Nav.... Enterprise + Lux Pack + \u20ac16,900 INC VAT']",[u'http://www.carzone.ie/search/Citroen/Berlingo/141-REG&/38713909131714320/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Kildare,"1 M /
                   2 KM","1.6
                  Diesel"
[u'Citroen Berlingo ALL NEW 2014 BERLINGO AT ACTIVE CARS CARLOW  BERLINGO X FROM \u20ac16500 INC VAT 23%'],[u'http://www.carzone.ie/search/Citroen/Berlingo/ALL-NEW-/36313881538210940/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Carlow,,"1.6
                  Diesel"
"[u'Citroen Berlingo 141 REG>>>1.6HDI Sat Nav.... Enterprise + Lux Pack + \u20ac15,900 INC VAT']",[u'http://www.carzone.ie/search/Citroen/Berlingo/141-REG&/39713909050063500/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Kildare,"1 M /
                   2 KM","1.6
                  Diesel"
"[u'Citroen Berlingo 141 REG>>>1.6HDI Sat Nav.... Enterprise + Lux Pack + \u20ac15,900 INC VAT']",[u'http://www.carzone.ie/search/Citroen/Berlingo/141-REG&/38513924702477520/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Kildare,"1 M /
                   2 KM","1.6
                  Diesel"
[u'Citroen Berlingo HDI 75 625KG LX SWB PHONE 059 9172555 FOR A QUOTE '],[u'http://www.carzone.ie/search/Citroen/Berlingo/HDI-75-6/36813816697683850/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Carlow,"10 M /
                   16 KM","1.5
                  Diesel"
[u'Citroen Berlingo HDI 75 625KG LX SWB 3DR'],[u'http://www.carzone.ie/search/Citroen/Berlingo/HDI-75-6/42713934347590140/advert?channel=CARS'],"[u'\r\n                                \u20ac12,750\r\n                                \r\n                            ', u'\r\n          \u20ac23,500\r\n          \r\n        ', u'\r\n          \u20ac19,399\r\n          \r\n        ', u'\r\n          \u20ac18,990\r\n          \r\n        ', u'\r\n          \u20ac18,020\r\n          \r\n        ', u'\r\n          \u20ac16,900\r\n          \r\n        ', u'\r\n          \u20ac16,500\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,900\r\n          \r\n        ', u'\r\n          \u20ac15,870\r\n          \r\n        ', u'\r\n          \u20ac13,524\r\n          \r\n        ']",2014 (141),Donegal,"1,100 M /
                   1,770 KM","1.5
                  Diesel"
[u'Honda Accord 2.2 I-DTEC TYPE-S 180 4 4DR'],[u'http://www.carzone.ie/search/Honda/Accord/2.2-I-DT/5013299333732970/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Louth,,"2.1
                  Diesel"
[u'Honda Accord 2.2i-DTEC EX w/Leather'],[u'http://www.carzone.ie/search/Honda/Accord/2.2i-DTE/31513553231952580/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Laois,,"2.2
                  Diesel"
[u'Honda Accord 2.2i DTEC EX'],[u'http://www.carzone.ie/search/Honda/Accord/2.2i-DTE/37613732640683310/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Dublin,"8 M /
                   13 KM","2.2
                  Diesel"
[u'Honda Accord 2.2 i-CTDi DIESEL CHOICE OF COLOURS'],[u'http://www.carzone.ie/search/Honda/Accord/2.2-i-CT/513230742213420/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Cork,"3 M /
                   5 KM","2.2
                  Diesel"
[u'Honda Accord 2.2I-DTEC Type-S 150BHP'],[u'http://www.carzone.ie/search/Honda/Accord/2.2I-DTE/37713770850114710/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Cork,"5 M /
                   8 KM","2.2
                  Diesel"
[u'Honda Accord TYPE S'],[u'http://www.carzone.ie/search/Honda/Accord/TYPE-S/39313916242770120/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Waterford,,"2.2
                  Diesel"
[u'Honda Accord type s 150bhp'],[u'http://www.carzone.ie/search/Honda/Accord/type-s-1/36713697533690490/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Limerick,,"2.1
                  Diesel"
[u'Honda Accord 2.2i DTEC Type S'],[u'http://www.carzone.ie/search/Honda/Accord/2.2i-DTE/36513732640692210/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Dublin,"8 M /
                   13 KM","2.2
                  Diesel"
[u'Honda Accord 2.2i-DTEC ES Diesel'],[u'http://www.carzone.ie/search/Honda/Accord/2.2i-DTE/31813559994567730/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Laois,,"2.2
                  Diesel"
[u'Honda Accord 2.2 ES Diesel'],[u'http://www.carzone.ie/search/Honda/Accord/2.2-ES-D/37713732640651680/advert?channel=CARS'],"[u'\r\n                                \u20ac11,575\r\n                                \r\n                            ', u'\r\n          \u20ac43,225\r\n          \r\n        ', u'\r\n          \u20ac42,115\r\n          \r\n        ', u'\r\n          \u20ac41,550\r\n          \r\n        ', u'\r\n          \u20ac36,495\r\n          \r\n        ', u'\r\n          \u20ac36,275\r\n          \r\n        ', u'\r\n          \u20ac36,175\r\n          \r\n        ', u'\r\n          \u20ac36,150\r\n          \r\n        ', u'\r\n          \u20ac35,650\r\n          \r\n        ', u'\r\n          \u20ac34,285\r\n          \r\n        ', u'\r\n          \u20ac33,700\r\n          \r\n        ']",2014 (141),Dublin,"8 M /
                   13 KM","2.1
                  Diesel"
